episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692fe7c9b03ac7c2657d54bf,ok,157,157,157.0,0,30,7
692efe42f59fd218b1be01a8,ok,130,130,130.0,0,30,7
692ea1c268228e362d908fcf,ok,230,230,230.0,0,30,7
692e8586aec602a46af1026c,ok,195,195,195.0,0,30,7
692ea7e9dbc4294a49cc729f,ok,211,211,211.0,0,30,7
692ea7ebdbc4294a49cc72a3,ok,167,167,167.0,0,30,7
692e9645c609aae267b2774d,ok,226,226,226.0,0,30,7
692ec52f526b2c3ac5f5b58a,ok,140,140,140.0,0,30,7
692fe255400f4662f13d7b08,ok,235,235,235.0,0,30,7
692ea90de2322e3b092b5f07,ok,190,190,190.0,0,30,7
692eb170d3d807884d4dd845,ok,231,231,231.0,0,30,7
692eadbaaec602a46af10688,ok,141,141,141.0,0,30,7
692e7abc526b2c3ac5f5b1cd,ok,215,215,215.0,0,30,7
692fe7c8b03ac7c2657d54b8,ok,183,183,183.0,0,30,7
692ea9eaad0c9ef057d41d8e,ok,316,316,316.0,0,30,7
692ea7ebdbc4294a49cc72a1,ok,201,201,201.0,0,30,7
692eb280a0e165ab2e42e585,ok,69,69,88.0,0,30,7
692eadb33b319da763b71ba6,ok,149,149,149.0,0,30,7
692eb280a0e165ab2e42e582,ok,95,95,95.0,0,30,7
692fe79b34a99e18e252898c,ok,220,220,220.0,0,30,7
692e92517641010d04354503,ok,227,227,227.0,0,30,7
692fe8773c1dfb13a7a99ec9,ok,205,205,205.0,0,30,7
692e7b5839719ab57395b496,ok,202,202,202.0,0,30,7
692e97586974927fef249b9c,ok,193,193,193.0,0,30,7
692ea415d3d807884d4dd717,ok,150,150,150.0,0,30,7
692efcdd4cbe809837380004,ok,189,189,189.0,0,30,7
692e9b80c609aae267b27808,ok,216,216,216.0,0,30,7
692eb652ba0400c7068a004f,ok,151,151,151.0,0,30,7
692e9fd83019385fbbf56737,ok,173,173,173.0,0,30,7
692eb27ea0e165ab2e42e575,ok,178,178,178.0,0,30,7
692f0f34fbcce321dca7508a,ok,209,209,209.0,0,30,7
692eb3fb96d2056439f0199c,ok,233,233,233.0,0,30,7
692ef314b07e0e30ff1132a3,ok,206,206,206.0,0,30,7
692eab0eba0400c70689ff5f,ok,187,187,187.0,0,30,7
692e97596974927fef249ba6,ok,183,183,183.0,0,30,7
692fe8783c1dfb13a7a99ece,ok,183,183,183.0,0,30,7
692eefe10ba268eb16564aa3,ok,207,207,207.0,0,30,7
692eb652ba0400c7068a0050,ok,156,156,156.0,0,30,7
692ea1c468228e362d908fda,ok,231,231,231.0,0,30,7
692eb28d21fc595fbe6f9601,ok,226,226,226.0,0,30,7
692efe43f59fd218b1be01b0,ok,133,133,133.0,0,30,7
692efe45f59fd218b1be01c1,ok,76,76,76.0,0,30,7
692ea44dc621d7f4aac3aae8,ok,184,184,184.0,0,30,7
692fe256400f4662f13d7b0c,ok,229,229,229.0,0,30,7
692efe45f59fd218b1be01c3,ok,75,75,75.0,0,30,7
